id,name,distance,moving_time,type,average_speed,start_date,total_elevation_gain,gear_id,average_heartrate,elapsed_time,kilojoules,calories,average_cadence
9261054912,Zwift - Beach Island Loop in Watopia,3758.3,460,VirtualRide,8.17,2023-06-13T23:50:39+00:00,16.0,b8821498,1.5,784,77.0,,76.6
9258605030,Lunch Swim,2600.0,2660,Swim,0.977,2023-06-13T15:56:46+00:00,0,,,3366,,,24.7
9254487609,Evening Mountain Bike Ride,47882.6,5959,Ride,8.035,2023-06-12T22:09:20+00:00,86.0,,140.8,6150,1426.7,,77.6
9254049206,Afternoon Mountain Bike Ride,28164.2,3732,Ride,7.547,2023-06-12T20:42:06+00:00,42.0,,116.6,4100,758.7,,72.7
9252308645,Lunch Swim,2600.0,2583,Swim,1.007,2023-06-12T15:56:37+00:00,0,,,3387,,,25.3
9246932501,Lunch Swim,1600.0,3319,Swim,0.482,2023-06-11T15:53:37+00:00,0,,,3500,,,21.2
9240190884,Lunch Swim,1000.0,1136,Swim,0.88,2023-06-10T15:49:59+00:00,0,,,2832,,,18.2
9235407127,"Playing with computer , string for #Coaat²Coast",48764.4,6837,Ride,7.132,2023-06-09T21:44:56+00:00,85.0,,116.0,6890,1107.5,,68.6
9233658792,Lunch Swim,2100.0,2773,Swim,0.757,2023-06-09T15:55:32+00:00,0,,,3410,,,19.8
9229939620,Zwift - Ocean Lava Cliffside Loop in Watopia,34114.7,4325,VirtualRide,7.888,2023-06-08T23:56:01+00:00,243.0,b8821498,131.4,4349,868.2,,75.3
9227523909,Lunch Swim,2500.0,2351,Swim,1.063,2023-06-08T15:58:54+00:00,0,,,3298,,,24.1
9216554156,Afternoon Ride,51343.1,7011,Ride,7.323,2023-06-06T19:50:59+00:00,84.0,b1683032,118.9,7738,1207.7,,69.9
9214567024,Lunch Swim,2250.0,2818,Swim,0.798,2023-06-06T16:04:33+00:00,0,,,3536,,,23.3
9208209163,Lunch Swim,1000.0,1152,Swim,0.868,2023-06-05T16:01:31+00:00,0,,,2874,,,21.7
9204747623,Cramped like a mofo at 95 miles.   Muscle spasming ,154005.0,24041,Ride,6.406,2023-06-04T15:10:03+00:00,1216.0,b1683032,141.8,34748,4068.0,,69.0
9197305304,Evening Weight Training,0.0,1820,WeightTraining,0.0,2023-06-03T22:05:27+00:00,0,,89.4,1820,,,
