id,name,distance,moving_time,type,average_speed,start_date,total_elevation_gain,gear_id,average_heartrate,elapsed_time,kilojoules,calories,average_cadence,average_watts,weighted_average_watts,sport_type
8097015786,Afternoon Ride,38955.9,5865.0,Ride,6.642,2010-07-24 18:55:48+00:00,50.7,b1683032,153.2,32867.0,1071.7,,,182.7,,Ride
8097011734,Evening Ride,39269.5,4079.0,Ride,9.627,2010-07-25 22:26:20+00:00,32.7,b1683032,157.8,13023.0,1005.4,,,246.5,,Ride
8096969394,Evening Run,2788.9,1395.0,Run,1.999,2010-08-31 23:50:00+00:00,3.8,g3714779,135.5,1494.0,,,,,,Run
8096965882,Lunch Ride,19381.1,3568.0,Ride,5.432,2010-09-11 16:01:20+00:00,33.8,b1683032,139.7,113930.0,279.2,,,78.3,,Ride
8096973590,Morning Run,4719.3,2362.0,Run,1.998,2010-11-20 14:45:18+00:00,3.7,g3714779,152.0,2415.0,,,,,,Run
8096998209,Afternoon Ride,25910.8,4030.0,Ride,6.429,2011-04-30 19:05:54+00:00,21.9,b1683032,124.5,4051.0,685.6,,,170.1,,Ride
8096995537,Afternoon Ride,41039.6,5887.0,Ride,6.971,2011-05-12 21:20:45+00:00,54.9,b1683032,149.6,6048.0,1174.3,,,199.5,,Ride
8096989436,Morning Ride,53945.3,7824.0,Ride,6.895,2011-07-30 12:29:43+00:00,56.4,b1683032,156.3,8454.0,1517.1,,,193.9,,Ride
393712245,Evening Ride,19370.3,2840.0,Ride,6.821,2012-07-11 22:08:06+00:00,12.6,b1683032,148.3,6496.0,600.4,,,211.4,,Ride
393712256,Evening Ride,63373.2,8962.0,Ride,7.071,2012-07-30 23:40:58+00:00,25.9,b1683032,154.4,260549.0,1950.3,,,217.6,,Ride
393712259,Morning Ride,76010.4,11291.0,Ride,6.732,2012-08-04 10:54:32+00:00,60.1,b1683032,151.3,142938.0,2235.2,,,198.0,,Ride
393712254,Night Ride,0.0,0.0,Ride,0.0,2012-08-06 02:37:01+00:00,0.0,b1683032,,417.0,0.0,,,0.0,,Ride
393712253,Night Ride,175.5,125.0,Ride,1.404,2012-08-06 02:43:58+00:00,0.0,b1683032,111.8,2885.0,3.4,,,27.5,,Ride
393712269,Night Ride,74072.4,11415.0,Ride,6.489,2012-08-08 02:13:08+00:00,58.8,b1683032,157.3,2328595.0,2164.2,,,189.6,,Ride
393712263,Morning Ride,64421.9,8415.0,Ride,7.656,2012-09-08 12:46:05+00:00,46.6,b1683032,158.5,614426.0,2089.0,,,248.3,,Ride
393712266,Lunch Ride,56939.9,8036.0,Ride,7.086,2012-09-15 15:26:31+00:00,26.3,b1683032,161.9,15590.0,1734.2,,,215.8,,Ride
393712224,Lunch Run,1845.1,1084.0,Run,1.702,2012-10-22 16:09:18+00:00,0.0,,,1084.0,,,,,,Run
393712215,Afternoon Run,0.5,0.0,Run,0.0,2012-10-22 19:27:28+00:00,0.0,,,13.0,,,,,,Run
393712216,Afternoon Run,4850.8,1511.0,Run,3.21,2012-10-22 19:31:07+00:00,0.0,,,1548.0,,,,,,Run
393712209,Morning Run,2630.0,253.0,Run,10.395,2012-11-17 12:43:21+00:00,0.0,,69.6,416.0,,,,,,Run
393712212,Morning Run,322.0,142.0,Run,2.268,2012-11-17 14:50:17+00:00,0.0,,124.5,193.0,,,,,,Run
393712250,Lunch Run,2748.5,1647.0,Run,1.669,2012-12-23 17:38:06+00:00,0.0,,,1815.0,,,,,,Run
226583696,"05/31/2013 Midland, Michigan",1461.2,224.0,Ride,6.523,2013-05-31 22:19:14+00:00,0.0,b1683032,118.9,175029.0,,,,,,Ride
226583712,"06/02/2013 Midland, Michigan",28474.1,3963.0,Ride,7.185,2013-06-02 22:59:15+00:00,10.5,b1683032,141.1,3984.0,,,,,,Ride
226583683,06/06/2013,0.0,5.0,Run,0.0,2013-06-06 17:17:00+00:00,0.0,,,5.0,,,,,,Run
226583713,"06/06/2013 Midland, Michigan",2314.3,1630.0,Run,1.42,2013-06-06 17:19:22+00:00,0.0,,,2905.0,,,,,,Run
226583702,"06/07/2013 Midland, Michigan",2943.6,798.0,Ride,3.689,2013-06-07 19:03:59+00:00,0.0,b1683032,,978.0,,,,,,Ride
226583701,"06/15/2013 Midland, Michigan",18759.9,2832.0,Ride,6.624,2013-06-15 17:10:07+00:00,0.0,b1683032,155.0,3176.0,,,,,,Ride
226583703,"06/22/2013 Midland, Michigan",47132.5,6832.0,Ride,6.899,2013-06-22 15:40:00+00:00,10.6,b1683032,167.4,282383.0,,,,,,Ride
226583700,"06/25/2013 Midland, Michigan",46010.0,7029.0,Ride,6.546,2013-06-25 22:06:26+00:00,24.0,b1683032,145.3,7603.0,,,,,,Ride
226583689,"07/02/2013 Midland, Michigan",37137.4,5133.0,Ride,7.235,2013-07-02 22:03:22+00:00,12.7,b1683032,158.7,5152.0,,,,,,Ride
226583697,"07/05/2013 Midland, Michigan",74312.8,10690.0,Ride,6.952,2013-07-05 17:47:47+00:00,58.1,b1683032,153.9,13000.0,,,,,,Ride
226583694,"07/26/2013 Midland, Michigan",36299.7,4905.0,Ride,7.401,2013-07-26 21:39:00+00:00,13.3,b1683032,163.1,261762.0,,,,,,Ride
226583691,"07/29/2013 Midland, Michigan",43056.3,6526.0,Ride,6.598,2013-07-29 22:21:45+00:00,12.4,b1683032,151.0,7521.0,,,,,,Ride
226583670,"08/13/2013 Midland, Michigan",17396.0,2295.0,Ride,7.58,2013-08-13 21:56:41+00:00,0.0,b1683032,166.5,6340.0,,,,,,Ride
226583682,"08/16/2013 Midland, Michigan",56545.4,8068.0,Ride,7.009,2013-08-16 21:28:51+00:00,22.9,b1683032,158.7,8149.0,,,,,,Ride
226583678,"08/17/2013 Midland, Michigan",66451.8,9582.0,Ride,6.935,2013-08-17 17:49:06+00:00,60.4,b1683032,160.5,13733.0,,,,,,Ride
226583664,"08/23/2013 Mackinaw City, Michigan",36.9,8.0,Run,4.613,2013-08-23 15:37:46+00:00,0.0,,,8.0,,,,,,Run
226583665,"08/23/2013 Mackinac Island, Michigan",48.9,12.0,Run,4.075,2013-08-23 16:36:31+00:00,0.0,,,12.0,,,,,,Run
226583673,"08/23/2013 Mackinac Island, Michigan",17031.6,5400.0,Run,3.154,2013-08-23 16:38:51+00:00,49.5,,,29472.0,,,,,,Run
226583674,"08/24/2013 Empire, Michigan",6783.8,5104.0,Run,1.329,2013-08-24 16:26:40+00:00,165.4,,,14798.0,,,,,,Run
226583671,"08/28/2013 Midland, Michigan",55679.4,7552.0,Ride,7.373,2013-08-28 22:44:53+00:00,23.6,b1683032,161.5,7606.0,,,,,,Ride
226583675,"08/31/2013 Midland, Michigan",73582.7,10054.0,Ride,7.319,2013-08-31 13:28:51+00:00,58.2,b1683032,160.2,10374.0,,,,,,Ride
226583692,"09/03/2013 Midland, Michigan",40300.1,7012.0,Ride,5.747,2013-09-03 21:32:04+00:00,14.6,b1683032,99.2,7628.0,,,,,,Ride
226583686,"09/04/2013 Midland, Michigan",37012.3,4963.0,Ride,7.458,2013-09-04 22:08:39+00:00,13.4,b1683032,144.6,5061.0,,,,,,Ride
226583690,"09/08/2013 Midland, Michigan",55151.3,7359.0,Ride,7.494,2013-09-08 20:37:40+00:00,22.7,b1683032,155.1,7457.0,,,,,,Ride
226583688,"09/10/2013 Midland, Michigan",38514.3,5091.0,Ride,7.565,2013-09-10 21:58:16+00:00,21.3,b1683032,162.2,7177.0,,,,,,Ride
226583687,"09/22/2013 Midland, Michigan",55782.4,7671.0,Ride,7.272,2013-09-22 15:50:08+00:00,23.0,b1683032,154.3,8024.0,,,,,,Ride
226583677,"09/24/2013 Midland, Michigan",3563.0,434.0,Ride,8.21,2013-09-24 21:41:02+00:00,0.0,b1683032,143.8,618.0,,,,,,Ride
226583679,"09/28/2013 Midland, Michigan",55234.6,7852.0,Ride,7.034,2013-09-28 18:07:39+00:00,23.4,b1683032,162.4,8312.0,,,,,,Ride
226583680,"09/29/2013 Midland, Michigan",37086.6,5239.0,Ride,7.079,2013-09-29 21:23:05+00:00,12.6,b1683032,145.7,5314.0,,,,,,Ride
226583715,"10/02/2013 Midland, Michigan",40785.4,5642.0,Ride,7.229,2013-10-02 21:28:37+00:00,23.3,b1683032,146.6,5818.0,,,,,,Ride
226583709,"10/05/2013 Midland, Michigan",37342.0,5281.0,Ride,7.071,2013-10-05 21:18:20+00:00,12.8,b1683032,150.9,5336.0,,,,,,Ride
226583711,"10/08/2013 Midland, Michigan",44471.2,6079.0,Ride,7.316,2013-10-08 21:06:00+00:00,23.6,b1683032,155.2,168601.0,,,,,,Ride
226583707,"10/10/2013 Midland, Michigan",36893.0,4920.0,Ride,7.499,2013-10-10 19:56:04+00:00,13.4,b1683032,156.4,5154.0,,,,,,Ride
226583704,"10/15/2013 Midland, Michigan",40806.5,5441.0,Ride,7.5,2013-10-15 20:58:54+00:00,12.6,b1683032,150.5,5480.0,,,,,,Ride
226583705,"10/18/2013 Midland, Michigan",44609.7,6166.0,Ride,7.235,2013-10-18 20:00:52+00:00,22.9,b1683032,140.0,6800.0,,,,,,Ride
226583717,"10/23/2013 Midland, Michigan",32596.6,4288.0,Ride,7.602,2013-10-23 17:22:36+00:00,0.0,b1683032,161.5,6602.0,,,,,,Ride
226584516,"02/06/2014 Vila-seca, Catalunya, Spain",4707.3,2557.0,Run,1.841,2014-02-06 17:01:31+00:00,0.0,,135.8,2780.0,,,,,,Run
226584505,"03/30/2014 Midland, Michigan",30458.7,4692.0,Ride,6.492,2014-03-30 22:36:10+00:00,12.6,b1683032,148.6,4809.0,,,,,,Ride
226584557,"04/05/2014 Midland, Michigan",6501.7,973.0,Ride,6.682,2014-04-05 19:59:31+00:00,8.0,b1683032,160.6,1020.0,82.1,,,84.4,,Ride
226584566,"04/05/2014 Midland, Michigan",30516.6,4632.0,Ride,6.588,2014-04-05 20:16:31+00:00,12.8,b1683032,154.4,5027.0,,,,,,Ride
226584513,"04/07/2014 Midland, Michigan",37515.4,5853.0,Ride,6.41,2014-04-07 22:00:37+00:00,12.6,b1683032,136.5,11691.0,,,,,,Ride
226584515,"04/12/2014 Midland, Michigan",54682.8,8298.0,Ride,6.59,2014-04-12 13:33:56+00:00,23.5,b1683032,157.3,8795.0,,,,,,Ride
226584506,"04/17/2014 Midland, Michigan",40970.7,5790.0,Ride,7.076,2014-04-17 21:41:33+00:00,12.6,b1683032,154.3,5975.0,,,,,,Ride
226584504,"04/20/2014 Midland, Michigan",93.5,47.0,Ride,1.989,2014-04-20 21:09:52+00:00,0.0,b1683032,97.6,170.0,,,,,,Ride
226584507,"04/20/2014 Midland, Michigan",49567.4,7039.0,Ride,7.042,2014-04-20 21:12:52+00:00,23.2,b1683032,155.4,7280.0,,,,,,Ride
226584510,"04/23/2014 Midland, Michigan",30109.8,4294.0,Ride,7.012,2014-04-23 23:06:25+00:00,12.7,b1683032,148.6,4455.0,,,,,,Ride
226584508,"04/24/2014 Midland, Michigan",54268.3,8734.0,Ride,6.213,2014-04-24 21:26:26+00:00,23.6,b1683032,126.5,10399.0,,,,,,Ride
226584520,"05/28/2014 Midland, Michigan",36645.7,5252.0,Ride,6.977,2014-05-28 22:49:43+00:00,14.4,b1683032,150.8,5296.0,,,,,,Ride
226584517,"05/29/2014 Midland, Michigan",63898.2,9097.0,Ride,7.024,2014-05-29 21:28:14+00:00,34.1,b1683032,142.2,13082.0,,,,,,Ride
226584539,"06/01/2014 Midland, Michigan",83522.9,13180.0,Ride,6.337,2014-06-01 17:16:56+00:00,60.0,b1683032,155.5,192676.0,,,,,,Ride
226584525,"06/03/2014 Midland, Michigan",32161.5,4313.0,Ride,7.457,2014-06-03 22:55:08+00:00,16.0,b1683032,131.9,5700.0,,,,,,Ride
226584533,"06/08/2014 Midland, Michigan",55801.3,8362.0,Ride,6.673,2014-06-08 21:32:55+00:00,23.6,b1683032,152.5,8520.0,,,,,,Ride
226584526,"06/09/2014 Midland, Michigan",17499.1,3340.0,Ride,5.239,2014-06-09 23:15:13+00:00,0.0,b1683032,96.4,3771.0,,,,,,Ride
226584524,"06/10/2014 Midland, Michigan",40669.1,5641.0,Ride,7.21,2014-06-10 23:01:02+00:00,31.3,b1683032,148.7,6145.0,,,,,,Ride
226584519,"06/14/2014 Midland, Michigan",36963.7,5183.0,Ride,7.132,2014-06-14 22:13:12+00:00,13.1,b1683032,157.8,5206.0,,,,,,Ride
226584521,"06/15/2014 Midland, Michigan",37388.2,5201.0,Ride,7.189,2014-06-15 22:17:20+00:00,13.1,b1683032,155.3,5266.0,,,,,,Ride
226584511,"06/16/2014 Midland, Michigan",27891.3,3870.0,Ride,7.207,2014-06-16 23:08:12+00:00,12.5,b1683032,150.6,4095.0,,,,,,Ride
226584509,"06/19/2014 Midland, Michigan",21043.1,2649.0,Ride,7.944,2014-06-19 21:21:49+00:00,10.5,b1683032,163.0,2649.0,,,,,,Ride
226584514,"06/20/2014 Midland, Michigan",44711.9,6307.0,Ride,7.089,2014-06-20 21:54:24+00:00,23.4,b1683032,140.1,6499.0,,,,,,Ride
226584534,"07/02/2014 Robbinsville, North Carolina",3368.8,2330.0,Run,1.446,2014-07-02 15:48:23+00:00,0.0,,136.7,2368.0,,,,,,Run
226584528,"07/02/2014 Lake Santeetlah, North Carolina",1796.6,1220.0,Run,1.473,2014-07-02 21:01:56+00:00,0.0,,,1364.0,,,,,,Run
226584529,"07/03/2014 Lake Santeetlah, North Carolina",3321.4,2428.0,Run,1.368,2014-07-03 14:44:42+00:00,0.0,,103.2,2511.0,,,,,,Run
226584565,"07/03/2014 Robbinsville, North Carolina",767.4,905.0,Ride,0.848,2014-07-03 17:37:02+00:00,47.3,b1683032,,22690.0,,,,,,Ride
226584573,"07/03/2014 Lake Santeetlah, North Carolina",3505.9,2506.0,Run,1.399,2014-07-03 23:55:12+00:00,45.6,,,68173.0,,,,,,Run
226584568,"07/04/2014 Lake Santeetlah, North Carolina",34.6,47.0,Ride,0.736,2014-07-04 18:51:25+00:00,0.0,b1683032,82.1,356.0,,,,,,Ride
226584527,"07/04/2014 Robbinsville, North Carolina",8459.1,2180.0,Ride,3.88,2014-07-04 19:05:26+00:00,120.3,b1683032,114.1,2590.0,,,,,,Ride
226584537,"07/19/2014 Midland, Michigan",42157.9,6183.0,Ride,6.818,2014-07-19 21:21:22+00:00,12.7,b1683032,163.1,6419.0,,,,,,Ride
226584538,"07/21/2014 Midland, Michigan",54722.0,8206.0,Ride,6.669,2014-07-21 22:44:09+00:00,27.7,b1683032,163.1,9226.0,,,,,,Ride
226584532,"07/23/2014 Midland, Michigan",37375.6,5213.0,Ride,7.17,2014-07-23 23:21:15+00:00,12.6,b1683032,154.9,5478.0,,,,,,Ride
226584530,"07/30/2014 Midland, Michigan",40907.1,5787.0,Ride,7.069,2014-07-30 21:32:11+00:00,12.6,b1683032,156.1,6620.0,,,,,,Ride
226584531,"07/31/2014 Midland, Michigan",48552.5,7158.0,Ride,6.783,2014-07-31 21:57:57+00:00,24.1,b1683032,159.1,8476.0,,,,,,Ride
226584546,"08/18/2014 Midland, Michigan",42797.0,5868.0,Ride,7.293,2014-08-18 22:53:18+00:00,22.9,b1683032,167.9,167360.0,,,,,,Ride
226584543,"08/20/2014 Midland, Michigan",59000.1,8459.0,Ride,6.975,2014-08-20 21:24:29+00:00,33.4,b1683032,151.5,10369.0,,,,,,Ride
226584540,"08/22/2014 Midland, Michigan",48315.5,6573.0,Ride,7.351,2014-08-22 22:25:48+00:00,23.0,b1683032,161.8,7329.0,,,,,,Ride
226584547,"08/23/2014 Midland, Michigan",89400.6,13255.0,Ride,6.745,2014-08-23 12:55:54+00:00,54.8,b1683032,152.8,17522.0,,,,,,Ride
226584542,"08/26/2014 Midland, Michigan",50921.3,7519.0,Ride,6.772,2014-08-26 21:33:04+00:00,22.8,b1683032,144.9,8031.0,,,,,,Ride
